method,page_number,y_coordinate,chunk_index,chunk_text,input_line,similarity_score
token_sort_ratio,2,592,66,of our stage performance the which if you with patient,theyre parents strength fearful passage of the death of our,53
token_set_ratio,2,592,66,of our stage performance the which if you with patient,theyre parents strength fearful passage of the death of our,56
partial_token_sort_ratio,2,533,70,strive to mend play act 1 scene 1 verona a,theyre parents strength fearful passage of the death of our,50
simple_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,the earth will pass it to the death of our,55
partial_ratio,2,638,59,end fighting the fearful passage of their deathmarkd love doomed,the earth will pass it to the death of our,64
token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,the earth will pass it to the death of our,55
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,the earth will pass it to the death of our,57
partial_token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,the earth will pass it to the death of our,52
simple_ratio,2,592,65,now the two hours traffic of our stage performance the, its here that you are trapped at our stage,52
partial_ratio,2,592,65,now the two hours traffic of our stage performance the, its here that you are trapped at our stage,62
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall, its here that you are trapped at our stage,54
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall, its here that you are trapped at our stage,56
partial_token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall, its here that you are trapped at our stage,57
simple_ratio,2,592,66,of our stage performance the which if you with patient,continue as under pair three which but their childrens end,48
partial_ratio,2,592,66,of our stage performance the which if you with patient,continue as under pair three which but their childrens end,50
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,continue as under pair three which but their childrens end,43
token_set_ratio,2,580,67,which if you with patient ears attend listen what here,continue as under pair three which but their childrens end,50
partial_token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,continue as under pair three which but their childrens end,49
simple_ratio,2,592,65,now the two hours traffic of our stage performance the,its here the two hours traffic in our stage the,73
partial_ratio,2,592,65,now the two hours traffic of our stage performance the,its here the two hours traffic in our stage the,80
token_sort_ratio,2,592,66,of our stage performance the which if you with patient,its here the two hours traffic in our stage the,55
token_set_ratio,2,592,66,of our stage performance the which if you with patient,its here the two hours traffic in our stage the,58
partial_token_sort_ratio,2,592,66,of our stage performance the which if you with patient,its here the two hours traffic in our stage the,57
simple_ratio,2,580,67,which if you with patient ears attend listen what here,which but their childrens end not to remove its here,55
partial_ratio,2,580,67,which if you with patient ears attend listen what here,which but their childrens end not to remove its here,52
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,which but their childrens end not to remove its here,49
token_set_ratio,2,580,67,which if you with patient ears attend listen what here,which but their childrens end not to remove its here,53
partial_token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,which but their childrens end not to remove its here,54
simple_ratio,2,580,67,which if you with patient ears attend listen what here,but their childrens end not to remove its here the,44
partial_ratio,2,580,67,which if you with patient ears attend listen what here,but their childrens end not to remove its here the,49
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,but their childrens end not to remove its here the,48
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,but their childrens end not to remove its here the,51
partial_token_sort_ratio,2,475,75,take insults gregory 112 no for then we should be,but their childrens end not to remove its here the,51
simple_ratio,2,592,66,of our stage performance the which if you with patient,its here in the two hours traffic at our stage,44
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,its here in the two hours traffic at our stage,49
token_sort_ratio,2,592,66,of our stage performance the which if you with patient,its here in the two hours traffic at our stage,56
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,its here in the two hours traffic at our stage,60
partial_token_sort_ratio,2,475,75,take insults gregory 112 no for then we should be,its here in the two hours traffic at our stage,54
simple_ratio,2,592,65,now the two hours traffic of our stage performance the,its here in the two hours traffic at our stage,68
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,its here in the two hours traffic at our stage,49
token_sort_ratio,2,592,65,now the two hours traffic of our stage performance the,its here in the two hours traffic at our stage,68
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,its here in the two hours traffic at our stage,60
partial_token_sort_ratio,2,475,75,take insults gregory 112 no for then we should be,its here in the two hours traffic at our stage,54
simple_ratio,2,592,66,of our stage performance the which if you with patient,well wrap it to our stage the wish if you,55
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,well wrap it to our stage the wish if you,49
token_sort_ratio,2,592,66,of our stage performance the which if you with patient,well wrap it to our stage the wish if you,59
token_set_ratio,2,580,67,which if you with patient ears attend listen what here,well wrap it to our stage the wish if you,55
partial_token_sort_ratio,2,475,74,word well not carry coals take insults gregory 112 no,well wrap it to our stage the wish if you,51
simple_ratio,2,580,67,which if you with patient ears attend listen what here,the wish if you were patient heres a tent but,65
partial_ratio,2,580,67,which if you with patient ears attend listen what here,the wish if you were patient heres a tent but,72
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,the wish if you were patient heres a tent but,63
token_set_ratio,2,592,66,of our stage performance the which if you with patient,the wish if you were patient heres a tent but,69
partial_token_sort_ratio,2,451,78,i mean if 5 we be in choler well draw,the wish if you were patient heres a tent but,56
simple_ratio,2,580,67,which if you with patient ears attend listen what here,if you were patient heres a tent but heres a,67
partial_ratio,2,580,67,which if you with patient ears attend listen what here,if you were patient heres a tent but heres a,68
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,if you were patient heres a tent but heres a,61
token_set_ratio,2,580,67,which if you with patient ears attend listen what here,if you were patient heres a tent but heres a,64
partial_token_sort_ratio,2,451,78,i mean if 5 we be in choler well draw,if you were patient heres a tent but heres a,57
simple_ratio,2,580,68,ears attend listen what here shall miss our toil shall,heres a tent but heres a mist our toilets will,68
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,heres a tent but heres a mist our toilets will,67
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,heres a tent but heres a mist our toilets will,56
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,heres a tent but heres a mist our toilets will,56
partial_token_sort_ratio,2,451,79,be in choler well draw and 2 angered draw our,heres a tent but heres a mist our toilets will,50
simple_ratio,2,545,69,shall miss our toil shall strive to mend play act,were here to miss our twiceless drive to bed do,56
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,were here to miss our twiceless drive to bed do,61
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,were here to miss our twiceless drive to bed do,51
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,were here to miss our twiceless drive to bed do,59
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,were here to miss our twiceless drive to bed do,51
simple_ratio,2,545,69,shall miss our toil shall strive to mend play act,our players will strike the net do you fight your,47
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,our players will strike the net do you fight your,53
token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,our players will strike the net do you fight your,49
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,our players will strike the net do you fight your,52
partial_token_sort_ratio,2,428,81,weapons gregory 114 ay while you live draw your neck,our players will strike the net do you fight your,56
simple_ratio,2,498,73,sampson 111 gregory on my word well not carry coals,im trying to net it do you like your color,41
partial_ratio,2,545,69,shall miss our toil shall strive to mend play act,im trying to net it do you like your color,45
token_sort_ratio,2,545,69,shall miss our toil shall strive to mend play act,im trying to net it do you like your color,40
token_set_ratio,2,545,69,shall miss our toil shall strive to mend play act,im trying to net it do you like your color,42
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,im trying to net it do you like your color,63
simple_ratio,2,451,77,colliers coal miners sampson 113 i mean if 5 we,do you like your father i didnt like my father,39
partial_ratio,2,580,68,ears attend listen what here shall miss our toil shall,do you like your father i didnt like my father,47
token_sort_ratio,2,580,68,ears attend listen what here shall miss our toil shall,do you like your father i didnt like my father,42
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,do you like your father i didnt like my father,44
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,do you like your father i didnt like my father,54
simple_ratio,2,428,82,you live draw your neck out of the 1 collar,do you like your father i didnt like my father,49
partial_ratio,2,580,67,which if you with patient ears attend listen what here,do you like your father i didnt like my father,52
token_sort_ratio,2,580,67,which if you with patient ears attend listen what here,do you like your father i didnt like my father,48
token_set_ratio,2,580,68,ears attend listen what here shall miss our toil shall,do you like your father i didnt like my father,44
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,do you like your father i didnt like my father,54
simple_ratio,2,428,82,you live draw your neck out of the 1 collar,thank you for coming out of there i give you,51
partial_ratio,2,475,75,take insults gregory 112 no for then we should be,thank you for coming out of there i give you,50
token_sort_ratio,2,475,75,take insults gregory 112 no for then we should be,thank you for coming out of there i give you,49
token_set_ratio,2,475,75,take insults gregory 112 no for then we should be,thank you for coming out of there i give you,52
partial_token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,thank you for coming out of there i give you,67
simple_ratio,2,335,89,of the house of montague moves me gregory 119 to,i get my phone i get my phone i get,46
partial_ratio,2,451,77,colliers coal miners sampson 113 i mean if 5 we,i get my phone i get my phone i get,48
token_sort_ratio,2,451,77,colliers coal miners sampson 113 i mean if 5 we,i get my phone i get my phone i get,46
token_set_ratio,2,405,83,out of the 1 collar take noose sampson 116 i,i get my phone i get my phone i get,34
partial_token_sort_ratio,2,358,88,strike sampson 118 a dog of the house of montague,i get my phone i get my phone i get,46
simple_ratio,2,335,91,move is to stir and to be valiant is to,oh my god were coming at us sir its the,46
partial_ratio,2,463,76,for then we should be colliers coal miners sampson 113,oh my god were coming at us sir its the,46
token_sort_ratio,2,463,76,for then we should be colliers coal miners sampson 113,oh my god were coming at us sir its the,47
token_set_ratio,2,358,88,strike sampson 118 a dog of the house of montague,oh my god were coming at us sir its the,49
partial_token_sort_ratio,2,335,91,move is to stir and to be valiant is to,oh my god were coming at us sir its the,50
simple_ratio,2,288,98,the wall of any man or maid of montagues make,do you fight for a fucking monster its the war,44
partial_ratio,2,428,82,you live draw your neck out of the 1 collar,do you fight for a fucking monster its the war,53
token_sort_ratio,2,428,82,you live draw your neck out of the 1 collar,do you fight for a fucking monster its the war,47
token_set_ratio,2,358,88,strike sampson 118 a dog of the house of montague,do you fight for a fucking monster its the war,48
partial_token_sort_ratio,2,300,94,art moved thou runnst away sampson 1112 a dog of,do you fight for a fucking monster its the war,52
simple_ratio,2,265,101,that shows thee a weak slave 2 for the weakest,its the war side if i say no sir i,45
partial_ratio,2,335,90,moves me gregory 119 to move is to stir and,its the war side if i say no sir i,49
token_sort_ratio,2,358,88,strike sampson 118 a dog of the house of montague,its the war side if i say no sir i,43
token_set_ratio,2,335,91,move is to stir and to be valiant is to,its the war side if i say no sir i,48
partial_token_sort_ratio,2,288,97,to stand i will take the wall of any man,its the war side if i say no sir i,51
simple_ratio,2,218,108,ever thrust to the wall therefore i will push montagues,its the law outside if i say uh no sir,45
partial_ratio,2,335,89,of the house of montague moves me gregory 119 to,its the law outside if i say uh no sir,50
token_sort_ratio,2,300,94,art moved thou runnst away sampson 1112 a dog of,its the law outside if i say uh no sir,47
token_set_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,its the law outside if i say uh no sir,47
partial_token_sort_ratio,2,265,101,that shows thee a weak slave 2 for the weakest,its the law outside if i say uh no sir,49
simple_ratio,2,218,108,ever thrust to the wall therefore i will push montagues,its the law outside if i say uh no sir,45
partial_ratio,2,335,89,of the house of montague moves me gregory 119 to,its the law outside if i say uh no sir,50
token_sort_ratio,2,300,94,art moved thou runnst away sampson 1112 a dog of,its the law outside if i say uh no sir,47
token_set_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,its the law outside if i say uh no sir,47
partial_token_sort_ratio,2,206,109,therefore i will push montagues always men from the wall,its the law outside if i say uh no sir,50
simple_ratio,2,218,108,ever thrust to the wall therefore i will push montagues,its the law outside if i say uh no sir,45
partial_ratio,2,335,89,of the house of montague moves me gregory 119 to,its the law outside if i say uh no sir,50
token_sort_ratio,2,300,94,art moved thou runnst away sampson 1112 a dog of,its the law outside if i say uh no sir,47
token_set_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,its the law outside if i say uh no sir,47
partial_token_sort_ratio,2,206,109,therefore i will push montagues always men from the wall,its the law outside if i say uh no sir,50
simple_ratio,2,206,110,always men from the wall and thrust his maids to,i say uh no sir i do not like chocolate,37
partial_ratio,2,335,91,move is to stir and to be valiant is to,i say uh no sir i do not like chocolate,50
token_sort_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,i say uh no sir i do not like chocolate,42
token_set_ratio,2,300,95,sampson 1112 a dog of that house shall move me,i say uh no sir i do not like chocolate,43
partial_token_sort_ratio,2,206,109,therefore i will push montagues always men from the wall,i say uh no sir i do not like chocolate,48
simple_ratio,2,159,116,one i will show myself a tyrant when i all,i cant stop you cant stop you cant stop what,44
partial_ratio,2,335,91,move is to stir and to be valiant is to,i cant stop you cant stop you cant stop what,55
token_sort_ratio,2,323,93,stand brave therefore if thou art moved thou runnst away,i cant stop you cant stop you cant stop what,48
token_set_ratio,2,288,97,to stand i will take the wall of any man,i cant stop you cant stop you cant stop what,40
partial_token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,i cant stop you cant stop you cant stop what,47
simple_ratio,3,755,124,the maids sampson 1126 ay the heads of the maids,no im sorry im poor i serve as good a,40
partial_ratio,2,335,90,moves me gregory 119 to move is to stir and,no im sorry im poor i serve as good a,50
token_sort_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,no im sorry im poor i serve as good a,46
token_set_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,no im sorry im poor i serve as good a,45
partial_token_sort_ratio,2,159,116,one i will show myself a tyrant when i all,no im sorry im poor i serve as good a,49
simple_ratio,3,720,130,1 sense that feel it feel what i do to,im gonna serve that as coo im gonna ask you,42
partial_ratio,2,335,91,move is to stir and to be valiant is to,im gonna serve that as coo im gonna ask you,46
token_sort_ratio,2,288,98,the wall of any man or maid of montagues make,im gonna serve that as coo im gonna ask you,41
token_set_ratio,2,253,102,slave 2 for the weakest weakling 1 coward goes to,im gonna serve that as coo im gonna ask you,43
partial_token_sort_ratio,2,148,117,a tyrant when i all the same prove have fought,im gonna serve that as coo im gonna ask you,48
simple_ratio,3,685,134,am able to stand and tis known i am a,man its you no measure no measure wow sir you,44
partial_ratio,2,323,92,to be valiant is to stand brave therefore if thou,man its you no measure no measure wow sir you,52
token_sort_ratio,2,288,98,the wall of any man or maid of montagues make,man its you no measure no measure wow sir you,44
token_set_ratio,2,229,105,the wall sampson 1116 tis true and therefore women being,man its you no measure no measure wow sir you,40
partial_token_sort_ratio,2,139,121,maids and 5 cut off their heads i will 2,man its you no measure no measure wow sir you,48
simple_ratio,3,662,138,tis well thou art not fish if thou hadst if,no measure no measure well sir you say that i,45
partial_ratio,2,276,99,or maid of montagues make them step aside gregory 1114,no measure no measure well sir you say that i,48
token_sort_ratio,2,288,98,the wall of any man or maid of montagues make,no measure no measure well sir you say that i,51
token_set_ratio,2,194,111,and thrust his maids to the wall women gregory 1120,no measure no measure well sir you say that i,45
partial_token_sort_ratio,3,743,126,or their maidenheads virginity take it in what sense thou,no measure no measure well sir you say that i,51
simple_ratio,3,662,138,tis well thou art not fish if thou hadst if,okay no better well its better you say that i,48
partial_ratio,2,253,103,weakling 1 coward goes to the wall backs up against,okay no better well its better you say that i,48
token_sort_ratio,2,288,97,to stand i will take the wall of any man,okay no better well its better you say that i,42
token_set_ratio,2,183,113,the quarrel is between our masters and us their men,okay no better well its better you say that i,49
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,okay no better well its better you say that i,53
simple_ratio,3,662,138,tis well thou art not fish if thou hadst if,no measure well sir you say that it comes with,47
partial_ratio,2,206,110,always men from the wall and thrust his maids to,no measure well sir you say that it comes with,50
token_sort_ratio,2,288,96,that house shall move me to stand i will take,no measure well sir you say that it comes with,51
token_set_ratio,2,148,118,the same prove have fought with the men i will,no measure well sir you say that it comes with,55
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,no measure well sir you say that it comes with,49
simple_ratio,3,662,138,tis well thou art not fish if thou hadst if,well sir you say that i dont know what my,52
partial_ratio,2,159,116,one i will show myself a tyrant when i all,well sir you say that i dont know what my,47
token_sort_ratio,2,288,96,that house shall move me to stand i will take,well sir you say that i dont know what my,49
token_set_ratio,2,148,118,the same prove have fought with the men i will,well sir you say that i dont know what my,48
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,well sir you say that i dont know what my,51
simple_ratio,3,662,138,tis well thou art not fish if thou hadst if,well lets say we say that it comes with my,45
partial_ratio,3,755,124,the maids sampson 1126 ay the heads of the maids,well lets say we say that it comes with my,50
token_sort_ratio,2,288,96,that house shall move me to stand i will take,well lets say we say that it comes with my,55
token_set_ratio,2,148,118,the same prove have fought with the men i will,well lets say we say that it comes with my,58
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,well lets say we say that it comes with my,52
simple_ratio,3,627,144,two 1 of the house of montagues 2 sword the,you say that everyones gonna let us just kiss them,45
partial_ratio,3,720,129,they must take it in 1 sense that feel it,you say that everyones gonna let us just kiss them,47
token_sort_ratio,2,229,104,the wall backs up against the wall sampson 1116 tis,you say that everyones gonna let us just kiss them,44
token_set_ratio,2,148,117,a tyrant when i all the same prove have fought,you say that everyones gonna let us just kiss them,42
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,you say that everyones gonna let us just kiss them,56
simple_ratio,3,556,151,do you mean sampson 1137 fear me not trust me,can you say that i dont know what my masters,43
partial_ratio,3,720,130,1 sense that feel it feel what i do to,can you say that i dont know what my masters,51
token_sort_ratio,2,206,109,therefore i will push montagues always men from the wall,can you say that i dont know what my masters,44
token_set_ratio,2,148,117,a tyrant when i all the same prove have fought,can you say that i dont know what my masters,47
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,can you say that i dont know what my masters,53
simple_ratio,3,486,157,let them begin of 2 sides 2 gregory 1141 i,thats what im going to ask just kidding yes veteran,43
partial_ratio,3,720,130,1 sense that feel it feel what i do to,thats what im going to ask just kidding yes veteran,53
token_sort_ratio,2,206,110,always men from the wall and thrust his maids to,thats what im going to ask just kidding yes veteran,46
token_set_ratio,2,159,116,one i will show myself a tyrant when i all,thats what im going to ask just kidding yes veteran,44
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,thats what im going to ask just kidding yes veteran,50
simple_ratio,3,486,160,by and let them take it as they list please, yes better better better from better remember it remember us,40
partial_ratio,3,720,129,they must take it in 1 sense that feel it, yes better better better from better remember it remember us,46
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men, yes better better better from better remember it remember us,41
token_set_ratio,2,148,117,a tyrant when i all the same prove have fought, yes better better better from better remember it remember us,37
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to, yes better better better from better remember it remember us,41
simple_ratio,3,428,167,it take it without a fight bites his thumb abram,yes better bye from yeah bring it in remember that,43
partial_ratio,3,720,129,they must take it in 1 sense that feel it,yes better bye from yeah bring it in remember that,49
token_sort_ratio,2,183,113,the quarrel is between our masters and us their men,yes better bye from yeah bring it in remember that,44
token_set_ratio,2,148,117,a tyrant when i all the same prove have fought,yes better bye from yeah bring it in remember that,42
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,yes better bye from yeah bring it in remember that,53
simple_ratio,3,370,172,thumb sir abram 1147 do you bite your thumb at,thats what im saying wow throw yeah you know its,43
partial_ratio,3,720,128,wilt whatever meaning gregory 1128 they must take it in,thats what im saying wow throw yeah you know its,50
token_sort_ratio,2,148,119,with the men i will be civil with the humane,thats what im saying wow throw yeah you know its,43
token_set_ratio,2,159,116,one i will show myself a tyrant when i all,thats what im saying wow throw yeah you know its,41
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,thats what im saying wow throw yeah you know its,55
simple_ratio,3,335,177,i say ay of 2 yes gregory aside to sampson,thats it wow trump yeah remember it remember that swashing,44
partial_ratio,3,720,130,1 sense that feel it feel what i do to,thats it wow trump yeah remember it remember that swashing,47
token_sort_ratio,3,743,126,or their maidenheads virginity take it in what sense thou,thats it wow trump yeah remember it remember that swashing,43
token_set_ratio,2,113,122,their heads i will 2 gregory 1125 the heads of,thats it wow trump yeah remember it remember that swashing,40
partial_token_sort_ratio,3,720,130,1 sense that feel it feel what i do to,thats it wow trump yeah remember it remember that swashing,50
simple_ratio,3,288,181,my thumb at you sir but i bite my thumb,wow trump yeah he moved bring it in remember that,45
partial_ratio,3,720,129,they must take it in 1 sense that feel it,wow trump yeah he moved bring it in remember that,51
token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,wow trump yeah he moved bring it in remember that,49
token_set_ratio,3,720,129,they must take it in 1 sense that feel it,wow trump yeah he moved bring it in remember that,51
partial_token_sort_ratio,3,720,129,they must take it in 1 sense that feel it,wow trump yeah he moved bring it in remember that,55
simple_ratio,3,218,186,sampson 1155 but if you do sir i am for,put up your sword you dont know how to do,43
partial_ratio,3,685,134,am able to stand and tis known i am a,put up your sword you dont know how to do,46
token_sort_ratio,3,685,134,am able to stand and tis known i am a,put up your sword you dont know how to do,38
